invoice_id,invoice_date,invoice_due_date,invoice_cost,invoice_currency,invoice_status,supplier_internal_id,supplier_external_id,supplier_company_name,supplier_address,supplier_city,supplier_country,supplier_contact_name,supplier_phone,supplier_email,supplier_bank_code,supplier_bank_branch_code,supplier_bank_account_number,supplier_status,supplier_stock_value,supplier_withholding_tax
INV001,01/09/2024,15/10/2024,1000.0,USD,CONFIRMED,SUPP001,EXT000111,Supplier 1 Inc.,123 Main St,New York,US,Moshe Zvolon,555-1234,supplier1@example.com,31,1,,ACTIVE,5000,10.0
INV002,05/09/2024,01/11/2024,1500.0,EUR,CONFIRMED,SUPP002,EXT000222,Supplier 2 LLC,456 Side Rd,Paris,FR,Itay Bandosh,555-5678,supplier2@example.com,31,2,87654321.0,INACTIVE,7500,15.0
INV003,10/09/2024,02/12/2024,1200.0,USD,CANCELLED,SUPP003,EXT000333,Supplier 3 Ltd.,789 Another St,London,GB,shimon chay,555-9876,supplier3@example.com,31,3,11223344.0,INACTIVE,6200,12.5
INV9413,15/08/2024,30/06/2025,1731.68,GBP,PENDING,SUPP430,EXT114960,Nash-Cruz,"02070 Alexander Neck
South Aprilbury, DC 91161",Jamesburgh,GY,Autumn Andrews,001-785-687-9154x9830,kduke@baxter.com,81,2,56613904.0,INACTIVE,4322,6.0
INV5054,07/05/2024,08/08/2025,2372.6,EUR,PAID,SUPP114,EXT714011,"Snyder, Robbins and Reed","2265 Angel Meadows Apt. 436
Sloanmouth, RI 59949",East Nathan,FR,April Meadows,001-419-707-9387x06144,folson@peterson.com,43,10,17009886.0,ACTIVE,7360,16.1
INV1023,13/10/2024,11/09/2026,508.03,EUR,CANCELLED,SUPP774,EXT298105,Smith PLC,"39414 Jose Drive
Andreaport, NJ 79534",East Autumntown,GA,Devin Torres,216.872.7042,melissa23@miller.info,79,6,10404516.0,INACTIVE,9513,13.5
INV1419,09/11/2024,25/08/2026,2029.63,USD,PAID,SUPP748,EXT383973,Bridges Inc,"16601 Patrick Falls Suite 060
West Kaylaton, CT 03104",Murraystad,CR,Courtney Smith,001-817-470-1109x7756,kellyfoster@greer.biz,44,9,97183704.0,INACTIVE,5642,11.8
INV7878,12/07/2024,14/12/2025,4862.02,EUR,CONFIRMED,SUPP560,EXT750632,"Joyce, Figueroa and Cross","2009 Sarah Divide Apt. 342
Wagnertown, MT 32826",Sallymouth,GA,Marc Ryan,(131)338-3060,gonzalesheather@calderon.com,67,3,15547403.0,INACTIVE,6303,8.3
INV8803,15/12/2024,30/09/2026,902.15,USD,PENDING,SUPP238,EXT107360,Casey-Perez,"7151 Madison Crescent Apt. 950
South Laurenside, AL 12671",South Jonathanview,NL,Kyle Austin,(222)912-1095x1406,cody54@yahoo.com,29,1,22612805.0,INACTIVE,9368,11.1
INV3568,12/01/2025,16/04/2026,2407.78,USD,CONFIRMED,SUPP902,EXT782756,"Fox, Flores and Morgan","PSC 3341, Box 5062
APO AP 99051",Alyssachester,HN,Cody Ramos,2526458300,whitehailey@nguyen-miller.com,10,1,47958272.0,ACTIVE,4915,18.8
