invoice_id,invoice_date,invoice_due_date,invoice_cost,invoice_currency,invoice_status,supplier_internal_id,supplier_external_id,supplier_company_name,supplier_address,supplier_city,supplier_country,supplier_contact_name,supplier_phone,supplier_email,supplier_bank_code,supplier_bank_branch_code,supplier_bank_account_number,supplier_status,supplier_stock_value,supplier_withholding_tax
INV001,01/09/2024,13/02/2025,1000,USD,CONFIRMED,SUPP001,EXT000111,Supplier 1 Inc.,123 Main St,New York,US,Moshe Zvolon,555-1234,supplier1@example.com,31,1,,ACTIVE,5000,10
INV002,05/09/2024,05/12/2024,1500,EUR,CONFIRMED,SUPP002,EXT000222,Supplier 2 LLC,456 Side Rd,Paris,FR,Itay Bandosh,555-5678,supplier2@example.com,31,2,87654321,INACTIVE,7500,15
INV003,10/09/2024,24/01/2025,1200,USD,CANCELLED,SUPP003,EXT000333,Supplier 3 Ltd.,789 Another St,London,GB,shimon chay,555-9876,supplier3@example.com,31,3,11223344,INACTIVE,6200,12.5
INV1501,29/10/2024,06/02/2025,4764.48,GBP,CONFIRMED,SUPP922,EXT904742,Mullins Group,"81884 Bryant Parkway, Drakeberg, PA 36427",New Donald,KI,Anthony Barnes,056.615.5048x3918,sandersgary@yahoo.com,74,5,16356917,INACTIVE,8811,6.5
INV3018,14/12/2024,09/12/2024,3246.65,USD,PENDING,SUPP001,EXT000111,Supplier 1 Inc.,"07496 Brian Way Apt. 557, West Jasmineland, ND 01152",Webbland,ES,Miss Tiffany Farley,7564610992,ashley40@yahoo.com,42,9,10911802,ACTIVE,1293,11.8
INV6488,29/08/2024,09/02/2025,1047.25,USD,CONFIRMED,SUPP556,EXT926959,"Young, Johnson and Orozco","0985 Jackson Estate, Heatherberg, VT 23204",Osbornehaven,MN,Peter Sanford,2928359804,pageeddie@hotmail.com,60,1,73695478,INACTIVE,4755,5.5
INV5332,02/01/2025,14/11/2024,3923.97,EUR,PAID,SUPP695,EXT798185,"Gill, Hicks and Fuller","07030 Phillips Row, Fieldsstad, GA 92971",Port Carla,RU,Karen Brooks,(692)822-9774,campbellkimberly@gmail.com,14,1,81273982,ACTIVE,3834,11.4
INV2981,23/12/2024,01/02/2025,1252.36,GBP,CANCELLED,SUPP479,EXT676728,Adkins-Graham,"65588 Fry Square, Woodsbury, MA 48364",East Tinabury,AO,Alicia Hull,(394)050-2464x2465,virginiamoore@gmail.com,13,10,35081413,INACTIVE,6805,19.1
INV9239,26/01/2024,07/02/2025,4040.4,EUR,CONFIRMED,SUPP001,EXT000111,Supplier 1 Inc.,"7477 Mark Street Apt. 273, East Michaelfurt, TN 97086",Kennethchester,MZ,Chelsea Torres,077.004.1442x105,rileysara@gmail.com,24,9,32596913,ACTIVE,1856,16
INV5946,12/01/2025,25/10/2024,3582.13,GBP,PAID,SUPP502,EXT707971,Peck-Taylor,"054 Mathis Lock, Lake Tyler, ID 81399",Millerhaven,IE,Meredith Mcclain,-7882,mccormickjamie@yahoo.com,37,4,69484342,INACTIVE,7527,19.6
INV1822,13/11/2024,20/03/2025,1047.78,USD,CANCELLED,SUPP994,EXT924087,Brown-Haynes,"4516 Jeff Manors Apt. 463, Port Carmen, AZ 45741",Charlesberg,MT,John Smith,001-606-871-2407x398,yle@gmail.com,93,5,37151505,ACTIVE,1509,19.4
